Date,IWO,TLT,QQQ
5/10/2016,128.580963,117.467995,103.044289
5/11/2016,126.652901,118.132217,102.112999
5/12/2016,125.756348,117.593651,101.661781
5/13/2016,125.187592,118.733612,101.287338
5/16/2016,126.971016,117.710342,102.554649
5/17/2016,125.071899,117.907822,101.268143
5/18/2016,125.679253,116.22934,101.632973
5/19/2016,124.83091,116.731972,101.104935
5/20/2016,127.038506,116.821701,102.218628
5/23/2016,127.163818,117.082016,102.084221
5/24/2016,130.055893,116.561485,104.129158
5/25/2016,130.624695,116.12159,104.878006
5/26/2016,130.518616,116.723007,105.185219
5/27/2016,132.147842,116.552422,105.732475
5/31/2016,132.822601,116.830711,105.934059
6/1/2016,133.931213,117.304733,105.94371
6/2/2016,135.367645,118.150177,106.164505
6/3/2016,134.37468,119.832123,105.665276
6/6/2016,135.859283,118.941704,106.049301
6/7/2016,136.225555,119.2295,105.780472
6/8/2016,137.13179,119.868134,105.962898
6/9/2016,135.97493,120.641579,105.790085
6/10/2016,133.825226,121.226234,104.589989
6/13/2016,132.244171,121.765938,103.716339
6/14/2016,132.099609,121.67601,103.716339
6/15/2016,132.340607,122.143715,103.418716
6/16/2016,132.311707,122.737274,103.725937
6/17/2016,131.087387,121.972771,102.510124
6/20/2016,132.67804,120.668587,103.155083
6/21/2016,132.12851,120.110939,103.482368
6/22/2016,131.675446,120.308807,103.232117
6/23/2016,134.326538,118.932716,104.70491
6/24/2016,128.976166,122.125664,100.392349
6/27/2016,125.02372,125.17482,98.399712
6/28/2016,127.048141,125.4356,100.556007
6/29/2016,129.988373,124.473236,102.336861
6/30/2016,132.244171,124.931953,103.520882
7/1/2016,132.784088,126.666588,104.040703
7/5/2016,131.116318,128.252457,103.405388
7/6/2016,132.280975,128.459717,104.252495
7/7/2016,132.74527,128.450699,104.560539
7/8/2016,135.772995,129.396835,106.177734
7/11/2016,137.146591,128.261475,106.784203
7/12/2016,138.703949,126.152946,107.323273
7/13/2016,137.814026,127.639732,107.063347
7/14/2016,137.843079,125.783463,107.794937
7/15/2016,138.220276,124.70224,107.621681
7/18/2016,138.413773,124.585007,108.33403
7/19/2016,137.62059,125.287857,107.939339
7/20/2016,139.071564,124.603111,109.200386
